id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
61014,"R. Santa Fé - Icuí-Guajará, Ananindeua - PA, 67125-384, Brasil",Norte,Pará,ANANINDEUA,ICUI GUARAJA,,,-1.33263,-48.4034843,"25/11/2023, 18:54:00",false,true,,Homicidio/Tentativa,,"Bar,Outros",false,98ef0b15-faa9-4b54-bb5e-572683a28b9c,People,wounded,Sem identificação,,Agent,,adulto,homem cis,Não identificado,bar,não se aplica,Agente de segurança,não se aplica,não se aplica,,guarda municipal,inspetor,fora de serviço,Sem informação
61019,"Travessa J, Conjunto Japiim, Salgadinho - Castanhal - PA, Brasil",Norte,Pará,CASTANHAL,SALGADINHO,,CONJUNTO JAPIIM,-1.2657065429600496,-47.884911845637966,"25/11/2023, 19:00:00",true,true,PC; 3ª BME PM; BOPE,Operação policial,,,false,a53eefb6-52fd-404f-af50-952ce77381b6,People,wounded,Sem identificação,,Agent,,adulto,não identificado,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,não identificado,não identificado,em serviço,Sem informação
61069,"Quarenta Horas, Ananindeua - PA, Brasil",Norte,Pará,ANANINDEUA,40 HORAS,,,-1.3474570774797376,-48.42005821695248,"28/11/2023, 14:00:00",false,false,"NÃO SE APLICA ",Homicidio/Tentativa,,Ataques armados sobre rodas,false,38895442-1bc6-4545-b748-192d257d4959,People,dead,Sem identificação,"28/11/2023, 14:00:00",Civilian,,não identificado,homem cis,Negra,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61094,"R. Augusto Corrêa - Guamá, Belém - PA, 66075-110, Brasil",Norte,Pará,BELEM,GUAMA,,,-1.4684136975104705,-48.45846150370484,"29/11/2023, 15:00:00",false,false,,Homicidio/Tentativa,,Ataques armados sobre rodas,false,52b19766-d9bc-44ed-9ce7-a43a97055259,People,dead,Sem identificação,"29/11/2023, 15:00:00",Civilian,,adulto,homem cis,Branca,outros,em serviço,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61115,"Rua Dos Bandeirantes - Fazendinha, Barcarena - PA, Brasil",Norte,Pará,BARCARENA,FAZENDINHA,,,-1.4868767446570692,-48.6901011916909,"30/11/2023, 07:00:00",true,true,14° BPM,Ação policial,,,false,1da3caa2-fdb9-4903-a1e3-183d8103599a,People,dead,Sem identificação,"30/11/2023, 07:00:00",Civilian,,adulto,homem cis,Não identificado,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61111,"Passagem John Engelhard - Pratinha, Belém - PA, 66816-730, Brasil",Norte,Pará,BELEM,PRATINHA,,,-1.3613073152699582,-48.47141078916,"30/11/2023, 07:00:00",true,true,PM,Ação policial,,,false,aa82d2d1-ad04-4cc3-9c92-ea217f7b722f,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61111,"Passagem John Engelhard - Pratinha, Belém - PA, 66816-730, Brasil",Norte,Pará,BELEM,PRATINHA,,,-1.3613073152699582,-48.47141078916,"30/11/2023, 07:00:00",true,true,PM,Ação policial,,,false,c01916b5-2b57-4265-92ff-f78a23855c8c,People,dead,Sem identificação,"30/11/2023, 07:00:00",Civilian,,adulto,homem cis,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61111,"Passagem John Engelhard - Pratinha, Belém - PA, 66816-730, Brasil",Norte,Pará,BELEM,PRATINHA,,,-1.3613073152699582,-48.47141078916,"30/11/2023, 07:00:00",true,true,PM,Ação policial,,,false,c533a49c-fc17-42ae-ad14-f4c7480e81e5,People,dead,Sem identificação,"30/11/2023, 08:00:00",Civilian,,adulto,homem cis,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61133,"Conjunto Jardim Europa - Coqueiro, Belém - PA, 66650-010, Brasil",Norte,Pará,ANANINDEUA,COQUEIRO,,CONJUNTO JARDIM EUROPA,-1.3616722,-48.4269941,"01/12/2023, 00:00:00",false,false,Não se aplica,Homicidio/Tentativa,,Ataques armados sobre rodas,false,a50bc7c7-ac09-4454-a42c-65bd386e1984,People,dead,Sem identificação,"01/12/2023, 00:00:00",Civilian,,adulto,homem cis,Não identificado,outros,de folga,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61136,"R. Seis, Cj. Julia Seffer - Águas Lindas, Ananindeua - PA, Brasil",Norte,Pará,ANANINDEUA,AGUAS LINDAS,,CONJUNTO JULIA SEFER,"-1.3872390152142737 ",-48.38017567392147,"01/12/2023, 11:00:00",false,true,NÃO SE APLICA,Homicidio/Tentativa,,Ataques armados sobre rodas,false,4c902abb-1858-4462-bb89-abc366aeebb0,People,dead,Sem identificação,"01/12/2023, 11:00:00",Civilian,53,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61148,"Av. Bernardo Sayão, 4906 - Cidade Velha, Belém - PA, 66075-155, Brasil",Norte,Pará,BELEM,GUAMA,,,-1.4754788841553903,-48.4639571416661,"01/12/2023, 17:00:00",false,false,Não se aplica,Homicidio/Tentativa,,Ataques armados sobre rodas,false,40a3763e-0da3-46e9-8766-383ea93f5ec2,People,dead,Sem identificação,"01/12/2023, 17:00:00",Civilian,34,adulto,homem cis,Branca,outros,em serviço,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61172,"Passagem Moreira - Quarenta Horas (Coqueiro), Ananindeua - PA, 67120-475, Brasil",Norte,Pará,ANANINDEUA,40 HORAS,,,-1.3416326282058288," -48.42129803377504","02/12/2023, 10:30:00",false,true,Não se aplica,Tentativa/Roubo,,,false,91bb2ba5-51f6-43e9-946d-e70d33ad62fd,People,dead,Sem identificação,"02/12/2023, 10:30:00",Civilian,28,adulto,homem cis,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61170,"Canal Água Cristal - Marambaia, Belém - PA, 66615-290, Brasil",Norte,Pará,BELEM,MARAMBAIA,,OCUPAÇÃO AGUA CRISTAL,-1.4051152,-48.4611141,"02/12/2023, 12:50:00",true,true,10º BPM,Operação policial,,,false,6b7e479b-ad35-4a01-a41d-c417a2838ab9,People,dead,Sem identificação,"03/12/2023, 12:50:00",Civilian,,adulto,homem cis,Negra,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61237,"PA-481, Pioneiro - Barcarena, PA, 68445-000, Brasil",Norte,Pará,BARCARENA,PIONEIRO,,,-1.5301861115214723,-48.68400539248208,"03/12/2023, 00:00:00",false,false,Não se aplica,Homicidio/Tentativa,,"Bar,Ataques armados sobre rodas",false,c6742bab-a6d2-4dc2-b199-7fce07ecfe55,People,dead,Sem identificação,"03/12/2023, 00:00:00",Civilian,27,adulto,homem cis,Negra,bar,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61188,"Av. Angelina Oliveira, Pirapora - Castanhal, PA, Brasil",Norte,Pará,CASTANHAL,PIRAPORA,,,-1.3111864863500307,-47.92710142001338,"03/12/2023, 15:00:00",false,false,Não se aplica,Homicidio/Tentativa,,Bar,false,7c7d7e3a-867d-407c-bd69-b6b935ba0265,People,dead,Sem identificação,"03/12/2023, 15:00:00",Civilian,38,adulto,homem cis,Não identificado,bar,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61194,"R. Sao Vicente De Paula - Pratinha, Belém - PA, 66816-010, Brasil",Norte,Pará,BELEM,PRATINHA,,,-1.357602885308338,-48.47019415177235,"03/12/2023, 19:00:00",false,false,Não se aplica,Homicidio/Tentativa,,Perseguição,false,534fd61d-7325-4b0d-82e7-15e1c3bd58d3,People,dead,Sem identificação,"03/12/2023, 19:00:00",Civilian,19,adulto,homem cis,Branca,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61214,"R. L3, Conjunto Habitacional Paracuri II - Paracuri, Belém - PA, 66814-005, Brasil",Norte,Pará,BELEM,PARACURI,,CONJUNTO HABITACIONAL PARACURI II,-1.3132820544622361,-48.47217370063652,"04/12/2023, 19:00:00",true,true,10º BPM,Ação policial,,,false,0ee5ac98-7335-4ee9-b339-8eb171c22ce1,People,dead,Sem identificação,"04/12/2023, 19:00:00",Civilian,19,adulto,homem cis,Negra,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61226,"Rua Silva Rosado - Canudos, Belém - PA, 66070-500, Brasil",Norte,Pará,BELEM,CANUDOS,,,-1.4518167385993788,-48.458787742249456,"05/12/2023, 19:00:00",true,true,37° BPM,Ação policial,,,false,5d3bed6e-6edf-4f3e-919d-02ab5b9827e3,People,dead,Sem identificação,"05/12/2023, 21:00:00",Civilian,,adulto,homem cis,Negra,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
